Movie number,genre,rating
1,D,7.1
2,D,6.6
3,D,6.6
4,D,7
5,D,5.4
6,D,7.2
7,D,4.9
8,D,7.5
9,D,6.3
10,D,7
11,D,7.2
12,D,3.1
13,D,7
14,D,6.9
15,D,9.4
16,D,5.1
17,D,5.1
18,D,6.9
19,D,7
20,D,6.6
21,D,6.9
22,D,7.4
23,D,6.5
24,D,7
25,D,6.8
26,D,5.5
27,D,7.1
28,D,6.1
29,D,8
30,D,6.1
31,D,5
32,D,7
33,D,7.5
34,D,8.3
35,D,7.5
36,D,7.7
37,D,6.1
38,D,6.6
39,D,7.9
40,D,6.8
